,Folds
97,1.2.276.0.7230010.3.1.4.8323329.3398.1517875177.659672
98,1.2.276.0.7230010.3.1.4.8323329.2820.1517875174.884740
99,1.2.276.0.7230010.3.1.4.8323329.13737.1517875247.647555
100,1.2.276.0.7230010.3.1.4.8323329.12529.1517875239.545984
101,1.2.276.0.7230010.3.1.4.8323329.5581.1517875188.882692
102,1.2.276.0.7230010.3.1.4.8323329.14292.1517875250.605080
103,1.2.276.0.7230010.3.1.4.8323329.10869.1517875226.41725
104,1.2.276.0.7230010.3.1.4.8323329.32610.1517875161.461415
105,1.2.276.0.7230010.3.1.4.8323329.11743.1517875234.555676
106,1.2.276.0.7230010.3.1.4.8323329.14303.1517875250.658236
107,1.2.276.0.7230010.3.1.4.8323329.5585.1517875188.898129
108,1.2.276.0.7230010.3.1.4.8323329.11186.1517875231.620611
109,1.2.276.0.7230010.3.1.4.8323329.2466.1517875172.902109
110,1.2.276.0.7230010.3.1.4.8323329.12294.1517875238.418455
111,1.2.276.0.7230010.3.1.4.8323329.31672.1517875156.226948
112,1.2.276.0.7230010.3.1.4.8323329.5119.1517875186.494944
113,1.2.276.0.7230010.3.1.4.8323329.13038.1517875243.229853
114,1.2.276.0.7230010.3.1.4.8323329.1509.1517875168.170477
115,1.2.276.0.7230010.3.1.4.8323329.1536.1517875168.273817
116,1.2.276.0.7230010.3.1.4.8323329.32353.1517875160.175087
117,1.2.276.0.7230010.3.1.4.8323329.5073.1517875186.287848
118,1.2.276.0.7230010.3.1.4.8323329.5265.1517875187.260165
119,1.2.276.0.7230010.3.1.4.8323329.32706.1517875161.898606
120,1.2.276.0.7230010.3.1.4.8323329.4548.1517875183.395700
121,1.2.276.0.7230010.3.1.4.8323329.4287.1517875182.142855
122,1.2.276.0.7230010.3.1.4.8323329.347.1517875162.506017
123,1.2.276.0.7230010.3.1.4.8323329.3909.1517875180.73776
124,1.2.276.0.7230010.3.1.4.8323329.4256.1517875181.945117
125,1.2.276.0.7230010.3.1.4.8323329.369.1517875162.590965
126,1.2.276.0.7230010.3.1.4.8323329.4598.1517875183.663351
127,1.2.276.0.7230010.3.1.4.8323329.4220.1517875181.794015
128,1.2.276.0.7230010.3.1.4.8323329.12201.1517875237.934859
129,1.2.276.0.7230010.3.1.4.8323329.3368.1517875177.520282
130,1.2.276.0.7230010.3.1.4.8323329.13480.1517875245.508760
131,1.2.276.0.7230010.3.1.4.8323329.5207.1517875186.970641
132,1.2.276.0.7230010.3.1.4.8323329.13002.1517875242.948222
133,1.2.276.0.7230010.3.1.4.8323329.13519.1517875246.419417
134,1.2.276.0.7230010.3.1.4.8323329.5164.1517875186.739639
135,1.2.276.0.7230010.3.1.4.8323329.2001.1517875170.647496
136,1.2.276.0.7230010.3.1.4.8323329.13681.1517875247.197556
137,1.2.276.0.7230010.3.1.4.8323329.12983.1517875242.873297
138,1.2.276.0.7230010.3.1.4.8323329.3923.1517875180.145636
139,1.2.276.0.7230010.3.1.4.8323329.11701.1517875234.373651
140,1.2.276.0.7230010.3.1.4.8323329.11277.1517875232.103158
141,1.2.276.0.7230010.3.1.4.8323329.10836.1517875225.855935
142,1.2.276.0.7230010.3.1.4.8323329.12304.1517875238.474454
143,1.2.276.0.7230010.3.1.4.8323329.10935.1517875228.159433
144,1.2.276.0.7230010.3.1.4.8323329.3265.1517875176.960000
145,1.2.276.0.7230010.3.1.4.8323329.12781.1517875241.802291
146,1.2.276.0.7230010.3.1.4.8323329.3185.1517875176.478174
147,1.2.276.0.7230010.3.1.4.8323329.10874.1517875226.70346
148,1.2.276.0.7230010.3.1.4.8323329.12794.1517875241.884552
149,1.2.276.0.7230010.3.1.4.8323329.1790.1517875169.458227
150,1.2.276.0.7230010.3.1.4.8323329.12530.1517875239.554811
151,1.2.276.0.7230010.3.1.4.8323329.13082.1517875243.504290
152,1.2.276.0.7230010.3.1.4.8323329.11657.1517875234.172462
153,1.2.276.0.7230010.3.1.4.8323329.14157.1517875249.905485
154,1.2.276.0.7230010.3.1.4.8323329.3179.1517875176.452964
155,1.2.276.0.7230010.3.1.4.8323329.5520.1517875188.629951
156,1.2.276.0.7230010.3.1.4.8323329.2189.1517875171.559291
157,1.2.276.0.7230010.3.1.4.8323329.32750.1517875162.158103
158,1.2.276.0.7230010.3.1.4.8323329.10486.1517875223.915304
159,1.2.276.0.7230010.3.1.4.8323329.13020.1517875243.120404
160,1.2.276.0.7230010.3.1.4.8323329.12738.1517875241.571876
161,1.2.276.0.7230010.3.1.4.8323329.5301.1517875187.499884
162,1.2.276.0.7230010.3.1.4.8323329.12693.1517875241.217666
163,1.2.276.0.7230010.3.1.4.8323329.5248.1517875187.168063
164,1.2.276.0.7230010.3.1.4.8323329.5053.1517875186.153242
165,1.2.276.0.7230010.3.1.4.8323329.32697.1517875161.881280
166,1.2.276.0.7230010.3.1.4.8323329.11396.1517875232.775244
167,1.2.276.0.7230010.3.1.4.8323329.32640.1517875161.583174
168,1.2.276.0.7230010.3.1.4.8323329.4568.1517875183.526303
169,1.2.276.0.7230010.3.1.4.8323329.2379.1517875172.440582
170,1.2.276.0.7230010.3.1.4.8323329.11510.1517875233.262262
171,1.2.276.0.7230010.3.1.4.8323329.3538.1517875178.292477
172,1.2.276.0.7230010.3.1.4.8323329.12962.1517875242.751018
173,1.2.276.0.7230010.3.1.4.8323329.13652.1517875247.49829
174,1.2.276.0.7230010.3.1.4.8323329.4382.1517875182.587704
175,1.2.276.0.7230010.3.1.4.8323329.32323.1517875160.48938
176,1.2.276.0.7230010.3.1.4.8323329.4746.1517875184.591608
177,1.2.276.0.7230010.3.1.4.8323329.32455.1517875160.699598
178,1.2.276.0.7230010.3.1.4.8323329.4526.1517875183.297791
179,1.2.276.0.7230010.3.1.4.8323329.11107.1517875231.192271
180,1.2.276.0.7230010.3.1.4.8323329.391.1517875162.734705
181,1.2.276.0.7230010.3.1.4.8323329.32472.1517875160.767538
182,1.2.276.0.7230010.3.1.4.8323329.333.1517875162.422915
183,1.2.276.0.7230010.3.1.4.8323329.12984.1517875242.874361
184,1.2.276.0.7230010.3.1.4.8323329.31982.1517875157.832985
185,1.2.276.0.7230010.3.1.4.8323329.32228.1517875159.124624
186,1.2.276.0.7230010.3.1.4.8323329.11860.1517875236.62687
187,1.2.276.0.7230010.3.1.4.8323329.4642.1517875183.945919
188,1.2.276.0.7230010.3.1.4.8323329.13782.1517875247.898700
189,1.2.276.0.7230010.3.1.4.8323329.5236.1517875187.119037
190,1.2.276.0.7230010.3.1.4.8323329.32467.1517875160.756893
191,1.2.276.0.7230010.3.1.4.8323329.10220.1517875222.665546
192,1.2.276.0.7230010.3.1.4.8323329.3865.1517875179.871412
193,1.2.276.0.7230010.3.1.4.8323329.1918.1517875170.236705
194,1.2.276.0.7230010.3.1.4.8323329.10704.1517875225.167311
195,1.2.276.0.7230010.3.1.4.8323329.13902.1517875248.596324
196,1.2.276.0.7230010.3.1.4.8323329.12488.1517875239.365976
197,1.2.276.0.7230010.3.1.4.8323329.3304.1517875177.177601
198,1.2.276.0.7230010.3.1.4.8323329.5126.1517875186.545368
199,1.2.276.0.7230010.3.1.4.8323329.4686.1517875184.116004
200,1.2.276.0.7230010.3.1.4.8323329.4260.1517875181.1486
201,1.2.276.0.7230010.3.1.4.8323329.10778.1517875225.610254
202,1.2.276.0.7230010.3.1.4.8323329.2452.1517875172.818545
203,1.2.276.0.7230010.3.1.4.8323329.11732.1517875234.518247
204,1.2.276.0.7230010.3.1.4.8323329.11527.1517875233.390738
205,1.2.276.0.7230010.3.1.4.8323329.32724.1517875161.985602
206,1.2.276.0.7230010.3.1.4.8323329.3530.1517875178.249137
207,1.2.276.0.7230010.3.1.4.8323329.4622.1517875183.785481
208,1.2.276.0.7230010.3.1.4.8323329.13237.1517875244.282346
209,1.2.276.0.7230010.3.1.4.8323329.13609.1517875246.843630
210,1.2.276.0.7230010.3.1.4.8323329.4450.1517875182.915522
211,1.2.276.0.7230010.3.1.4.8323329.14038.1517875249.271298
212,1.2.276.0.7230010.3.1.4.8323329.1911.1517875170.204464
213,1.2.276.0.7230010.3.1.4.8323329.4881.1517875185.250249
214,1.2.276.0.7230010.3.1.4.8323329.3838.1517875179.729923
215,1.2.276.0.7230010.3.1.4.8323329.1066.1517875166.134239
216,1.2.276.0.7230010.3.1.4.8323329.3556.1517875178.396932
217,1.2.276.0.7230010.3.1.4.8323329.10784.1517875225.617068
218,1.2.276.0.7230010.3.1.4.8323329.1002.1517875165.878183
219,1.2.276.0.7230010.3.1.4.8323329.1073.1517875166.186056
220,1.2.276.0.7230010.3.1.4.8323329.31749.1517875156.609918
221,1.2.276.0.7230010.3.1.4.8323329.12220.1517875238.33367
222,1.2.276.0.7230010.3.1.4.8323329.10269.1517875222.913699
223,1.2.276.0.7230010.3.1.4.8323329.3641.1517875178.807896
224,1.2.276.0.7230010.3.1.4.8323329.1699.1517875169.6097
225,1.2.276.0.7230010.3.1.4.8323329.4362.1517875182.469446
226,1.2.276.0.7230010.3.1.4.8323329.3268.1517875176.976845
227,1.2.276.0.7230010.3.1.4.8323329.11540.1517875233.498485
228,1.2.276.0.7230010.3.1.4.8323329.10521.1517875224.91521
229,1.2.276.0.7230010.3.1.4.8323329.2751.1517875174.472847
230,1.2.276.0.7230010.3.1.4.8323329.32303.1517875159.768282
231,1.2.276.0.7230010.3.1.4.8323329.12642.1517875240.927081
232,1.2.276.0.7230010.3.1.4.8323329.1251.1517875166.966302
233,1.2.276.0.7230010.3.1.4.8323329.32383.1517875160.322522
234,1.2.276.0.7230010.3.1.4.8323329.3914.1517875180.105431
235,1.2.276.0.7230010.3.1.4.8323329.14119.1517875249.711195
236,1.2.276.0.7230010.3.1.4.8323329.10983.1517875229.96645
237,1.2.276.0.7230010.3.1.4.8323329.11233.1517875231.878552
238,1.2.276.0.7230010.3.1.4.8323329.12114.1517875237.447839
239,1.2.276.0.7230010.3.1.4.8323329.12549.1517875239.661402
240,1.2.276.0.7230010.3.1.4.8323329.12588.1517875239.917774
241,1.2.276.0.7230010.3.1.4.8323329.32113.1517875158.485626
242,1.2.276.0.7230010.3.1.4.8323329.2590.1517875173.626954
243,1.2.276.0.7230010.3.1.4.8323329.12528.1517875239.545460
244,1.2.276.0.7230010.3.1.4.8323329.12448.1517875239.156922
245,1.2.276.0.7230010.3.1.4.8323329.1893.1517875170.134347
246,1.2.276.0.7230010.3.1.4.8323329.31992.1517875157.897981
247,1.2.276.0.7230010.3.1.4.8323329.13461.1517875245.430456
248,1.2.276.0.7230010.3.1.4.8323329.10049.1517875221.738029
249,1.2.276.0.7230010.3.1.4.8323329.32362.1517875160.233721
250,1.2.276.0.7230010.3.1.4.8323329.2457.1517875172.834411
251,1.2.276.0.7230010.3.1.4.8323329.5168.1517875186.763362
252,1.2.276.0.7230010.3.1.4.8323329.13547.1517875246.567659
253,1.2.276.0.7230010.3.1.4.8323329.12263.1517875238.298329
254,1.2.276.0.7230010.3.1.4.8323329.2124.1517875171.270334
255,1.2.276.0.7230010.3.1.4.8323329.10194.1517875222.571179
256,1.2.276.0.7230010.3.1.4.8323329.13706.1517875247.304787
257,1.2.276.0.7230010.3.1.4.8323329.2330.1517875172.213783
258,1.2.276.0.7230010.3.1.4.8323329.14361.1517875251.731646
259,1.2.276.0.7230010.3.1.4.8323329.11946.1517875236.581091
260,1.2.276.0.7230010.3.1.4.8323329.4768.1517875184.665499
261,1.2.276.0.7230010.3.1.4.8323329.2090.1517875171.126753
262,1.2.276.0.7230010.3.1.4.8323329.32641.1517875161.583657
263,1.2.276.0.7230010.3.1.4.8323329.31729.1517875156.505488
264,1.2.276.0.7230010.3.1.4.8323329.11544.1517875233.525074
265,1.2.276.0.7230010.3.1.4.8323329.2587.1517875173.604513
266,1.2.276.0.7230010.3.1.4.8323329.4197.1517875181.675711
267,1.2.276.0.7230010.3.1.4.8323329.10833.1517875225.845843
268,1.2.276.0.7230010.3.1.4.8323329.495.1517875163.183419
269,1.2.276.0.7230010.3.1.4.8323329.3126.1517875176.234139
270,1.2.276.0.7230010.3.1.4.8323329.13351.1517875244.775166
271,1.2.276.0.7230010.3.1.4.8323329.4275.1517875182.100527
272,1.2.276.0.7230010.3.1.4.8323329.11307.1517875232.268960
273,1.2.276.0.7230010.3.1.4.8323329.1654.1517875168.763844
274,1.2.276.0.7230010.3.1.4.8323329.5147.1517875186.650192
275,1.2.276.0.7230010.3.1.4.8323329.14050.1517875249.339978
276,1.2.276.0.7230010.3.1.4.8323329.4591.1517875183.645960
277,1.2.276.0.7230010.3.1.4.8323329.548.1517875163.391746
278,1.2.276.0.7230010.3.1.4.8323329.13154.1517875243.909638
279,1.2.276.0.7230010.3.1.4.8323329.5451.1517875188.206769
280,1.2.276.0.7230010.3.1.4.8323329.32751.1517875162.166618
281,1.2.276.0.7230010.3.1.4.8323329.2250.1517875171.808735
282,1.2.276.0.7230010.3.1.4.8323329.513.1517875163.267737
283,1.2.276.0.7230010.3.1.4.8323329.5012.1517875185.962358
284,1.2.276.0.7230010.3.1.4.8323329.5747.1517875190.107803
285,1.2.276.0.7230010.3.1.4.8323329.2665.1517875173.947393
286,1.2.276.0.7230010.3.1.4.8323329.12751.1517875241.623881
287,1.2.276.0.7230010.3.1.4.8323329.12524.1517875239.524176
288,1.2.276.0.7230010.3.1.4.8323329.2570.1517875173.477427
289,1.2.276.0.7230010.3.1.4.8323329.4249.1517875181.895979
290,1.2.276.0.7230010.3.1.4.8323329.11881.1517875236.176031
291,1.2.276.0.7230010.3.1.4.8323329.4393.1517875182.624964
292,1.2.276.0.7230010.3.1.4.8323329.11302.1517875232.240112
293,1.2.276.0.7230010.3.1.4.8323329.32637.1517875161.576979
294,1.2.276.0.7230010.3.1.4.8323329.13680.1517875247.197697
295,1.2.276.0.7230010.3.1.4.8323329.12531.1517875239.559491
296,1.2.276.0.7230010.3.1.4.8323329.1135.1517875166.429148
297,1.2.276.0.7230010.3.1.4.8323329.32741.1517875162.111016
298,1.2.276.0.7230010.3.1.4.8323329.32499.1517875160.887465
299,1.2.276.0.7230010.3.1.4.8323329.13756.1517875247.746525
300,1.2.276.0.7230010.3.1.4.8323329.5776.1517875190.487379
301,1.2.276.0.7230010.3.1.4.8323329.11535.1517875233.453088
302,1.2.276.0.7230010.3.1.4.8323329.32652.1517875161.641603
303,1.2.276.0.7230010.3.1.4.8323329.13910.1517875248.607765
304,1.2.276.0.7230010.3.1.4.8323329.2324.1517875172.174627
305,1.2.276.0.7230010.3.1.4.8323329.3827.1517875179.677923
306,1.2.276.0.7230010.3.1.4.8323329.2258.1517875171.834139
307,1.2.276.0.7230010.3.1.4.8323329.14153.1517875249.883940
308,1.2.276.0.7230010.3.1.4.8323329.10890.1517875226.133125
309,1.2.276.0.7230010.3.1.4.8323329.32410.1517875160.466574
310,1.2.276.0.7230010.3.1.4.8323329.12517.1517875239.497225
311,1.2.276.0.7230010.3.1.4.8323329.12846.1517875242.141253
312,1.2.276.0.7230010.3.1.4.8323329.5462.1517875188.269543
313,1.2.276.0.7230010.3.1.4.8323329.13162.1517875243.950980
314,1.2.276.0.7230010.3.1.4.8323329.3846.1517875179.755149
315,1.2.276.0.7230010.3.1.4.8323329.10336.1517875223.220220
316,1.2.276.0.7230010.3.1.4.8323329.3558.1517875178.413700
317,1.2.276.0.7230010.3.1.4.8323329.12406.1517875238.995975
318,1.2.276.0.7230010.3.1.4.8323329.32725.1517875161.987474
319,1.2.276.0.7230010.3.1.4.8323329.2716.1517875174.213743
320,1.2.276.0.7230010.3.1.4.8323329.3000.1517875175.622260
321,1.2.276.0.7230010.3.1.4.8323329.1644.1517875168.720240
322,1.2.276.0.7230010.3.1.4.8323329.10942.1517875228.354527
323,1.2.276.0.7230010.3.1.4.8323329.10881.1517875226.95814
324,1.2.276.0.7230010.3.1.4.8323329.10571.1517875224.333275
325,1.2.276.0.7230010.3.1.4.8323329.14377.1517875251.815822
326,1.2.276.0.7230010.3.1.4.8323329.4717.1517875184.288478
327,1.2.276.0.7230010.3.1.4.8323329.2477.1517875172.986008
328,1.2.276.0.7230010.3.1.4.8323329.12964.1517875242.768125
329,1.2.276.0.7230010.3.1.4.8323329.4825.1517875184.1740
330,1.2.276.0.7230010.3.1.4.8323329.3244.1517875176.846610
331,1.2.276.0.7230010.3.1.4.8323329.5221.1517875187.34759
332,1.2.276.0.7230010.3.1.4.8323329.13284.1517875244.503803
333,1.2.276.0.7230010.3.1.4.8323329.13031.1517875243.197108
334,1.2.276.0.7230010.3.1.4.8323329.4762.1517875184.652466
335,1.2.276.0.7230010.3.1.4.8323329.10177.1517875222.472715
336,1.2.276.0.7230010.3.1.4.8323329.4656.1517875184.15128
337,1.2.276.0.7230010.3.1.4.8323329.14491.1517875252.363813
338,1.2.276.0.7230010.3.1.4.8323329.11038.1517875230.35421
339,1.2.276.0.7230010.3.1.4.8323329.11863.1517875236.89253
340,1.2.276.0.7230010.3.1.4.8323329.552.1517875163.403094
341,1.2.276.0.7230010.3.1.4.8323329.10991.1517875229.224825
342,1.2.276.0.7230010.3.1.4.8323329.1854.1517875169.929244
343,1.2.276.0.7230010.3.1.4.8323329.12904.1517875242.467403
344,1.2.276.0.7230010.3.1.4.8323329.5019.1517875185.975789
345,1.2.276.0.7230010.3.1.4.8323329.2128.1517875171.279329
346,1.2.276.0.7230010.3.1.4.8323329.11733.1517875234.529860
347,1.2.276.0.7230010.3.1.4.8323329.11963.1517875236.660471
348,1.2.276.0.7230010.3.1.4.8323329.32133.1517875158.616122
349,1.2.276.0.7230010.3.1.4.8323329.10417.1517875223.617426
350,1.2.276.0.7230010.3.1.4.8323329.13839.1517875248.236864
351,1.2.276.0.7230010.3.1.4.8323329.3445.1517875177.869688
352,1.2.276.0.7230010.3.1.4.8323329.12988.1517875242.889055
353,1.2.276.0.7230010.3.1.4.8323329.10202.1517875222.620531
354,1.2.276.0.7230010.3.1.4.8323329.2501.1517875173.63544
355,1.2.276.0.7230010.3.1.4.8323329.5498.1517875188.505805
356,1.2.276.0.7230010.3.1.4.8323329.14288.1517875250.580679
357,1.2.276.0.7230010.3.1.4.8323329.1299.1517875167.176879
358,1.2.276.0.7230010.3.1.4.8323329.10561.1517875224.274935
359,1.2.276.0.7230010.3.1.4.8323329.13358.1517875244.815501
360,1.2.276.0.7230010.3.1.4.8323329.1547.1517875168.342561
361,1.2.276.0.7230010.3.1.4.8323329.10920.1517875227.933102
362,1.2.276.0.7230010.3.1.4.8323329.1675.1517875168.870209
363,1.2.276.0.7230010.3.1.4.8323329.31879.1517875157.296662
364,1.2.276.0.7230010.3.1.4.8323329.3410.1517875177.712430
365,1.2.276.0.7230010.3.1.4.8323329.4747.1517875184.602287
366,1.2.276.0.7230010.3.1.4.8323329.3175.1517875176.443627
367,1.2.276.0.7230010.3.1.4.8323329.4497.1517875183.160248
368,1.2.276.0.7230010.3.1.4.8323329.3166.1517875176.393634
369,1.2.276.0.7230010.3.1.4.8323329.5219.1517875187.28247
370,1.2.276.0.7230010.3.1.4.8323329.11181.1517875231.590428
371,1.2.276.0.7230010.3.1.4.8323329.12700.1517875241.230758
372,1.2.276.0.7230010.3.1.4.8323329.13167.1517875243.968582
373,1.2.276.0.7230010.3.1.4.8323329.4648.1517875183.978599
374,1.2.276.0.7230010.3.1.4.8323329.12238.1517875238.146725
375,1.2.276.0.7230010.3.1.4.8323329.13435.1517875245.308344
376,1.2.276.0.7230010.3.1.4.8323329.14574.1517875252.774870
377,1.2.276.0.7230010.3.1.4.8323329.13084.1517875243.528738
378,1.2.276.0.7230010.3.1.4.8323329.11360.1517875232.583238
379,1.2.276.0.7230010.3.1.4.8323329.12677.1517875241.88096
380,1.2.276.0.7230010.3.1.4.8323329.12533.1517875239.572750
381,1.2.276.0.7230010.3.1.4.8323329.32670.1517875161.717858
382,1.2.276.0.7230010.3.1.4.8323329.5480.1517875188.396626
383,1.2.276.0.7230010.3.1.4.8323329.14072.1517875249.505583
384,1.2.276.0.7230010.3.1.4.8323329.3678.1517875178.953520
385,1.2.276.0.7230010.3.1.4.8323329.1349.1517875167.351429
386,1.2.276.0.7230010.3.1.4.8323329.12634.1517875240.771357
387,1.2.276.0.7230010.3.1.4.8323329.338.1517875162.455978
388,1.2.276.0.7230010.3.1.4.8323329.13245.1517875244.329474
389,1.2.276.0.7230010.3.1.4.8323329.3245.1517875176.864282
390,1.2.276.0.7230010.3.1.4.8323329.31698.1517875156.375608
391,1.2.276.0.7230010.3.1.4.8323329.3925.1517875180.160846
392,1.2.276.0.7230010.3.1.4.8323329.10807.1517875225.709130
393,1.2.276.0.7230010.3.1.4.8323329.10285.1517875222.993969
394,1.2.276.0.7230010.3.1.4.8323329.1397.1517875167.553451
395,1.2.276.0.7230010.3.1.4.8323329.3356.1517875177.451942
396,1.2.276.0.7230010.3.1.4.8323329.3463.1517875177.949983
397,1.2.276.0.7230010.3.1.4.8323329.13854.1517875248.316103
398,1.2.276.0.7230010.3.1.4.8323329.3970.1517875180.400485
