,Folds
170,1.2.276.0.7230010.3.1.4.8323329.13185.1517875244.52580
171,1.2.276.0.7230010.3.1.4.8323329.1921.1517875170.256461
172,1.2.276.0.7230010.3.1.4.8323329.12491.1517875239.375978
173,1.2.276.0.7230010.3.1.4.8323329.489.1517875163.169250
174,1.2.276.0.7230010.3.1.4.8323329.32211.1517875159.35791
175,1.2.276.0.7230010.3.1.4.8323329.11576.1517875233.682788
176,1.2.276.0.7230010.3.1.4.8323329.11113.1517875231.221380
177,1.2.276.0.7230010.3.1.4.8323329.12177.1517875237.845301
178,1.2.276.0.7230010.3.1.4.8323329.12514.1517875239.492761
179,1.2.276.0.7230010.3.1.4.8323329.521.1517875163.304733
180,1.2.276.0.7230010.3.1.4.8323329.4678.1517875184.85774
181,1.2.276.0.7230010.3.1.4.8323329.12586.1517875239.909900
182,1.2.276.0.7230010.3.1.4.8323329.14363.1517875251.757947
183,1.2.276.0.7230010.3.1.4.8323329.11053.1517875230.471501
184,1.2.276.0.7230010.3.1.4.8323329.4656.1517875184.15128
185,1.2.276.0.7230010.3.1.4.8323329.5230.1517875187.98011
186,1.2.276.0.7230010.3.1.4.8323329.12004.1517875236.852955
187,1.2.276.0.7230010.3.1.4.8323329.2766.1517875174.605668
188,1.2.276.0.7230010.3.1.4.8323329.32725.1517875161.987474
189,1.2.276.0.7230010.3.1.4.8323329.11129.1517875231.312824
190,1.2.276.0.7230010.3.1.4.8323329.12353.1517875238.743706
191,1.2.276.0.7230010.3.1.4.8323329.11038.1517875230.35421
192,1.2.276.0.7230010.3.1.4.8323329.12170.1517875237.816780
193,1.2.276.0.7230010.3.1.4.8323329.32658.1517875161.664352
194,1.2.276.0.7230010.3.1.4.8323329.10910.1517875227.856845
195,1.2.276.0.7230010.3.1.4.8323329.5146.1517875186.634270
196,1.2.276.0.7230010.3.1.4.8323329.12654.1517875240.995898
197,1.2.276.0.7230010.3.1.4.8323329.1221.1517875166.844950
198,1.2.276.0.7230010.3.1.4.8323329.5734.1517875189.891532
199,1.2.276.0.7230010.3.1.4.8323329.2133.1517875171.297809
200,1.2.276.0.7230010.3.1.4.8323329.5697.1517875189.643327
201,1.2.276.0.7230010.3.1.4.8323329.4950.1517875185.642663
202,1.2.276.0.7230010.3.1.4.8323329.3922.1517875180.137157
203,1.2.276.0.7230010.3.1.4.8323329.567.1517875163.478398
204,1.2.276.0.7230010.3.1.4.8323329.375.1517875162.621322
205,1.2.276.0.7230010.3.1.4.8323329.2063.1517875170.970837
206,1.2.276.0.7230010.3.1.4.8323329.12154.1517875237.738674
207,1.2.276.0.7230010.3.1.4.8323329.5699.1517875189.649322
208,1.2.276.0.7230010.3.1.4.8323329.32505.1517875160.911821
209,1.2.276.0.7230010.3.1.4.8323329.1439.1517875167.780288
210,1.2.276.0.7230010.3.1.4.8323329.1292.1517875167.157306
211,1.2.276.0.7230010.3.1.4.8323329.4395.1517875182.632090
212,1.2.276.0.7230010.3.1.4.8323329.3618.1517875178.702844
213,1.2.276.0.7230010.3.1.4.8323329.31718.1517875156.459332
214,1.2.276.0.7230010.3.1.4.8323329.14371.1517875251.815512
215,1.2.276.0.7230010.3.1.4.8323329.12879.1517875242.339686
216,1.2.276.0.7230010.3.1.4.8323329.12403.1517875238.980630
217,1.2.276.0.7230010.3.1.4.8323329.3775.1517875179.372719
218,1.2.276.0.7230010.3.1.4.8323329.11855.1517875236.54071
219,1.2.276.0.7230010.3.1.4.8323329.11542.1517875233.527935
220,1.2.276.0.7230010.3.1.4.8323329.14035.1517875249.255029
221,1.2.276.0.7230010.3.1.4.8323329.12666.1517875241.48706
222,1.2.276.0.7230010.3.1.4.8323329.11876.1517875236.143591
223,1.2.276.0.7230010.3.1.4.8323329.13718.1517875247.380468
224,1.2.276.0.7230010.3.1.4.8323329.4168.1517875181.481728
225,1.2.276.0.7230010.3.1.4.8323329.1555.1517875168.395268
226,1.2.276.0.7230010.3.1.4.8323329.10438.1517875223.742233
227,1.2.276.0.7230010.3.1.4.8323329.10268.1517875222.913507
228,1.2.276.0.7230010.3.1.4.8323329.13527.1517875246.483578
229,1.2.276.0.7230010.3.1.4.8323329.11199.1517875231.672005
230,1.2.276.0.7230010.3.1.4.8323329.1930.1517875170.305802
231,1.2.276.0.7230010.3.1.4.8323329.10843.1517875225.915764
232,1.2.276.0.7230010.3.1.4.8323329.3395.1517875177.652801
233,1.2.276.0.7230010.3.1.4.8323329.12615.1517875240.150866
234,1.2.276.0.7230010.3.1.4.8323329.10879.1517875226.99155
235,1.2.276.0.7230010.3.1.4.8323329.12475.1517875239.287746
236,1.2.276.0.7230010.3.1.4.8323329.3787.1517875179.409747
237,1.2.276.0.7230010.3.1.4.8323329.10086.1517875221.892727
238,1.2.276.0.7230010.3.1.4.8323329.1697.1517875168.995871
239,1.2.276.0.7230010.3.1.4.8323329.12005.1517875236.858395
240,1.2.276.0.7230010.3.1.4.8323329.501.1517875163.206998
241,1.2.276.0.7230010.3.1.4.8323329.10033.1517875221.45305
242,1.2.276.0.7230010.3.1.4.8323329.12191.1517875237.895586
243,1.2.276.0.7230010.3.1.4.8323329.10781.1517875225.623646
244,1.2.276.0.7230010.3.1.4.8323329.1365.1517875167.410244
245,1.2.276.0.7230010.3.1.4.8323329.13028.1517875243.196056
246,1.2.276.0.7230010.3.1.4.8323329.4587.1517875183.632454
247,1.2.276.0.7230010.3.1.4.8323329.2385.1517875172.478313
248,1.2.276.0.7230010.3.1.4.8323329.13438.1517875245.327302
249,1.2.276.0.7230010.3.1.4.8323329.2612.1517875173.713262
250,1.2.276.0.7230010.3.1.4.8323329.10348.1517875223.298190
251,1.2.276.0.7230010.3.1.4.8323329.11531.1517875233.424262
252,1.2.276.0.7230010.3.1.4.8323329.556.1517875163.421242
253,1.2.276.0.7230010.3.1.4.8323329.1983.1517875170.547254
254,1.2.276.0.7230010.3.1.4.8323329.3427.1517875177.802582
255,1.2.276.0.7230010.3.1.4.8323329.12762.1517875241.679681
256,1.2.276.0.7230010.3.1.4.8323329.1335.1517875167.296145
257,1.2.276.0.7230010.3.1.4.8323329.5645.1517875189.300562
258,1.2.276.0.7230010.3.1.4.8323329.10097.1517875222.32876
259,1.2.276.0.7230010.3.1.4.8323329.14043.1517875249.310459
260,1.2.276.0.7230010.3.1.4.8323329.2163.1517875171.427248
261,1.2.276.0.7230010.3.1.4.8323329.2389.1517875172.512585
262,1.2.276.0.7230010.3.1.4.8323329.10371.1517875223.410271
263,1.2.276.0.7230010.3.1.4.8323329.32706.1517875161.898606
264,1.2.276.0.7230010.3.1.4.8323329.13547.1517875246.567659
265,1.2.276.0.7230010.3.1.4.8323329.3372.1517875177.535396
266,1.2.276.0.7230010.3.1.4.8323329.2336.1517875172.243921
267,1.2.276.0.7230010.3.1.4.8323329.13171.1517875243.994884
268,1.2.276.0.7230010.3.1.4.8323329.2641.1517875173.837846
269,1.2.276.0.7230010.3.1.4.8323329.10423.1517875223.644270
270,1.2.276.0.7230010.3.1.4.8323329.2821.1517875174.897493
271,1.2.276.0.7230010.3.1.4.8323329.4402.1517875182.663896
272,1.2.276.0.7230010.3.1.4.8323329.2605.1517875173.687873
273,1.2.276.0.7230010.3.1.4.8323329.10859.1517875225.990057
274,1.2.276.0.7230010.3.1.4.8323329.4898.1517875185.318787
275,1.2.276.0.7230010.3.1.4.8323329.4650.1517875183.982450
276,1.2.276.0.7230010.3.1.4.8323329.3964.1517875180.379578
277,1.2.276.0.7230010.3.1.4.8323329.13273.1517875244.439409
278,1.2.276.0.7230010.3.1.4.8323329.2915.1517875175.363370
279,1.2.276.0.7230010.3.1.4.8323329.2069.1517875170.994784
280,1.2.276.0.7230010.3.1.4.8323329.5683.1517875189.599331
281,1.2.276.0.7230010.3.1.4.8323329.1412.1517875167.630975
282,1.2.276.0.7230010.3.1.4.8323329.32284.1517875159.403015
283,1.2.276.0.7230010.3.1.4.8323329.13612.1517875246.848598
284,1.2.276.0.7230010.3.1.4.8323329.4735.1517875184.410483
285,1.2.276.0.7230010.3.1.4.8323329.12658.1517875241.13322
286,1.2.276.0.7230010.3.1.4.8323329.13509.1517875245.802544
287,1.2.276.0.7230010.3.1.4.8323329.325.1517875162.384468
288,1.2.276.0.7230010.3.1.4.8323329.10001.1517875220.930580
289,1.2.276.0.7230010.3.1.4.8323329.32299.1517875159.769755
290,1.2.276.0.7230010.3.1.4.8323329.12156.1517875237.748784
291,1.2.276.0.7230010.3.1.4.8323329.32646.1517875161.607351
292,1.2.276.0.7230010.3.1.4.8323329.448.1517875162.988074
293,1.2.276.0.7230010.3.1.4.8323329.2244.1517875171.776116
294,1.2.276.0.7230010.3.1.4.8323329.14064.1517875249.454414
295,1.2.276.0.7230010.3.1.4.8323329.10174.1517875222.481277
296,1.2.276.0.7230010.3.1.4.8323329.13683.1517875247.195839
297,1.2.276.0.7230010.3.1.4.8323329.14209.1517875250.247490
298,1.2.276.0.7230010.3.1.4.8323329.11276.1517875232.97869
299,1.2.276.0.7230010.3.1.4.8323329.12504.1517875239.433651
300,1.2.276.0.7230010.3.1.4.8323329.5218.1517875187.23413
301,1.2.276.0.7230010.3.1.4.8323329.2640.1517875173.835341
302,1.2.276.0.7230010.3.1.4.8323329.10694.1517875225.115568
303,1.2.276.0.7230010.3.1.4.8323329.1766.1517875169.318619
304,1.2.276.0.7230010.3.1.4.8323329.1081.1517875166.228103
305,1.2.276.0.7230010.3.1.4.8323329.5638.1517875189.251081
306,1.2.276.0.7230010.3.1.4.8323329.10968.1517875228.787245
307,1.2.276.0.7230010.3.1.4.8323329.3029.1517875175.711694
308,1.2.276.0.7230010.3.1.4.8323329.4158.1517875181.418079
309,1.2.276.0.7230010.3.1.4.8323329.32329.1517875160.91430
310,1.2.276.0.7230010.3.1.4.8323329.460.1517875163.52377
311,1.2.276.0.7230010.3.1.4.8323329.10011.1517875220.977487
312,1.2.276.0.7230010.3.1.4.8323329.10235.1517875222.754411
313,1.2.276.0.7230010.3.1.4.8323329.14270.1517875250.506358
314,1.2.276.0.7230010.3.1.4.8323329.11494.1517875233.202067
315,1.2.276.0.7230010.3.1.4.8323329.12392.1517875238.932059
316,1.2.276.0.7230010.3.1.4.8323329.12527.1517875239.531103
317,1.2.276.0.7230010.3.1.4.8323329.12305.1517875238.471535
318,1.2.276.0.7230010.3.1.4.8323329.10571.1517875224.333275
319,1.2.276.0.7230010.3.1.4.8323329.13798.1517875247.990948
320,1.2.276.0.7230010.3.1.4.8323329.4596.1517875183.652556
321,1.2.276.0.7230010.3.1.4.8323329.3149.1517875176.331946
322,1.2.276.0.7230010.3.1.4.8323329.524.1517875163.298894
323,1.2.276.0.7230010.3.1.4.8323329.4461.1517875182.971843
324,1.2.276.0.7230010.3.1.4.8323329.13447.1517875245.367852
325,1.2.276.0.7230010.3.1.4.8323329.14530.1517875252.554209
326,1.2.276.0.7230010.3.1.4.8323329.1591.1517875168.523019
327,1.2.276.0.7230010.3.1.4.8323329.5208.1517875186.973889
328,1.2.276.0.7230010.3.1.4.8323329.14521.1517875252.507065
329,1.2.276.0.7230010.3.1.4.8323329.14408.1517875251.948768
330,1.2.276.0.7230010.3.1.4.8323329.3473.1517875177.994480
331,1.2.276.0.7230010.3.1.4.8323329.13488.1517875245.545341
332,1.2.276.0.7230010.3.1.4.8323329.2669.1517875173.971495
333,1.2.276.0.7230010.3.1.4.8323329.10728.1517875225.326830
334,1.2.276.0.7230010.3.1.4.8323329.3166.1517875176.393634
335,1.2.276.0.7230010.3.1.4.8323329.4037.1517875180.811454
336,1.2.276.0.7230010.3.1.4.8323329.1065.1517875166.126456
337,1.2.276.0.7230010.3.1.4.8323329.2836.1517875174.995788
338,1.2.276.0.7230010.3.1.4.8323329.3373.1517875177.537106
339,1.2.276.0.7230010.3.1.4.8323329.11490.1517875233.194234
340,1.2.276.0.7230010.3.1.4.8323329.2539.1517875173.268842
341,1.2.276.0.7230010.3.1.4.8323329.1265.1517875167.28712
342,1.2.276.0.7230010.3.1.4.8323329.13907.1517875248.593038
343,1.2.276.0.7230010.3.1.4.8323329.13165.1517875243.967088
344,1.2.276.0.7230010.3.1.4.8323329.504.1517875163.224304
345,1.2.276.0.7230010.3.1.4.8323329.2323.1517875172.175897
346,1.2.276.0.7230010.3.1.4.8323329.3672.1517875178.937277
347,1.2.276.0.7230010.3.1.4.8323329.31669.1517875156.239920
348,1.2.276.0.7230010.3.1.4.8323329.1515.1517875168.187200
349,1.2.276.0.7230010.3.1.4.8323329.558.1517875163.430896
350,1.2.276.0.7230010.3.1.4.8323329.13876.1517875248.435599
351,1.2.276.0.7230010.3.1.4.8323329.4882.1517875185.245838
352,1.2.276.0.7230010.3.1.4.8323329.12531.1517875239.559491
353,1.2.276.0.7230010.3.1.4.8323329.3182.1517875176.464297
354,1.2.276.0.7230010.3.1.4.8323329.1100.1517875166.335042
355,1.2.276.0.7230010.3.1.4.8323329.2361.1517875172.356013
356,1.2.276.0.7230010.3.1.4.8323329.11581.1517875233.715317
357,1.2.276.0.7230010.3.1.4.8323329.479.1517875163.132546
358,1.2.276.0.7230010.3.1.4.8323329.3440.1517875177.845463
359,1.2.276.0.7230010.3.1.4.8323329.2643.1517875173.857756
360,1.2.276.0.7230010.3.1.4.8323329.475.1517875163.123986
361,1.2.276.0.7230010.3.1.4.8323329.1464.1517875167.927281
362,1.2.276.0.7230010.3.1.4.8323329.5447.1517875188.190197
363,1.2.276.0.7230010.3.1.4.8323329.4463.1517875182.977400
364,1.2.276.0.7230010.3.1.4.8323329.11111.1517875231.215341
365,1.2.276.0.7230010.3.1.4.8323329.14465.1517875252.243919
366,1.2.276.0.7230010.3.1.4.8323329.4740.1517875184.518822
367,1.2.276.0.7230010.3.1.4.8323329.14312.1517875250.941093
368,1.2.276.0.7230010.3.1.4.8323329.4834.1517875185.39692
369,1.2.276.0.7230010.3.1.4.8323329.10741.1517875225.413374
370,1.2.276.0.7230010.3.1.4.8323329.31644.1517875156.38707
371,1.2.276.0.7230010.3.1.4.8323329.2303.1517875172.23510
372,1.2.276.0.7230010.3.1.4.8323329.2106.1517875171.196793
373,1.2.276.0.7230010.3.1.4.8323329.10477.1517875223.875271
374,1.2.276.0.7230010.3.1.4.8323329.13383.1517875245.49806
375,1.2.276.0.7230010.3.1.4.8323329.5708.1517875189.694020
376,1.2.276.0.7230010.3.1.4.8323329.11921.1517875236.474727
377,1.2.276.0.7230010.3.1.4.8323329.4902.1517875185.343074
378,1.2.276.0.7230010.3.1.4.8323329.31994.1517875157.910390
379,1.2.276.0.7230010.3.1.4.8323329.14010.1517875249.111849
380,1.2.276.0.7230010.3.1.4.8323329.32628.1517875161.542105
381,1.2.276.0.7230010.3.1.4.8323329.13128.1517875243.795794
382,1.2.276.0.7230010.3.1.4.8323329.572.1517875163.499069
383,1.2.276.0.7230010.3.1.4.8323329.4083.1517875181.28021
384,1.2.276.0.7230010.3.1.4.8323329.12280.1517875238.377093
385,1.2.276.0.7230010.3.1.4.8323329.14197.1517875250.194662
386,1.2.276.0.7230010.3.1.4.8323329.11014.1517875229.541593
387,1.2.276.0.7230010.3.1.4.8323329.32520.1517875160.990399
388,1.2.276.0.7230010.3.1.4.8323329.14567.1517875252.737433
389,1.2.276.0.7230010.3.1.4.8323329.4228.1517875181.822090
390,1.2.276.0.7230010.3.1.4.8323329.343.1517875162.487099
391,1.2.276.0.7230010.3.1.4.8323329.11603.1517875233.867947
392,1.2.276.0.7230010.3.1.4.8323329.3239.1517875176.815074
393,1.2.276.0.7230010.3.1.4.8323329.1374.1517875167.438882
394,1.2.276.0.7230010.3.1.4.8323329.3216.1517875176.648507
395,1.2.276.0.7230010.3.1.4.8323329.13043.1517875243.251817
396,1.2.276.0.7230010.3.1.4.8323329.12060.1517875237.171435
397,1.2.276.0.7230010.3.1.4.8323329.4045.1517875180.844069
398,1.2.276.0.7230010.3.1.4.8323329.12947.1517875242.656443
399,1.2.276.0.7230010.3.1.4.8323329.431.1517875162.902494
